,code,type,name,group,market
283,711792,上櫃認購(售)權證,新普群益02購01,,上櫃
284,711794,上櫃認購(售)權證,環球晶群益01購02,,上櫃
285,711795,上櫃認購(售)權證,環球晶群益01購03,,上櫃
286,711799,上櫃認購(售)權證,台燿凱基01購01,,上櫃
287,711800,上櫃認購(售)權證,邦特凱基01購01,,上櫃
288,711801,上櫃認購(售)權證,璟德凱基01購01,,上櫃
289,711803,上櫃認購(售)權證,大江統一01購03,,上櫃
290,711804,上櫃認購(售)權證,六角統一01購01,,上櫃
291,711805,上櫃認購(售)權證,台半統一01購01,,上櫃
292,711806,上櫃認購(售)權證,邦特統一01購02,,上櫃
293,711807,上櫃認購(售)權證,金可統一01購01,,上櫃
294,711809,上櫃認購(售)權證,璟德統一01購01,,上櫃
295,711815,上櫃認購(售)權證,精測國泰01購01,,上櫃
296,711816,上櫃認購(售)權證,環球晶國泰02購01,,上櫃
297,711817,上櫃認購(售)權證,力旺群益01購01,,上櫃
298,711821,上櫃認購(售)權證,茂達群益01購01,,上櫃
299,711822,上櫃認購(售)權證,緯軟群益01購01,,上櫃
300,711823,上櫃認購(售)權證,鈺太群益01購01,,上櫃
301,711824,上櫃認購(售)權證,頎邦群益01購01,,上櫃
302,711827,上櫃認購(售)權證,太醫元大01購01,,上櫃
303,711828,上櫃認購(售)權證,原相元大02購01,,上櫃
304,711829,上櫃認購(售)權證,精測元大01購01,,上櫃
305,711832,上櫃認購(售)權證,鈊象元大01購01,,上櫃
306,711833,上櫃認購(售)權證,中美晶國票01購02,,上櫃
307,711834,上櫃認購(售)權證,胡連國票01購01,,上櫃
308,711835,上櫃認購(售)權證,智擎國票01購02,,上櫃
309,711836,上櫃認購(售)權證,環球晶國票01購01,,上櫃
310,711848,上櫃認購(售)權證,穩懋兆豐01購01,,上櫃
311,711850,上櫃認購(售)權證,雙鴻統一02購01,,上櫃
312,711851,上櫃認購(售)權證,大學光凱基02購01,,上櫃
313,711852,上櫃認購(售)權證,中美晶凱基01購01,,上櫃
314,711853,上櫃認購(售)權證,金居凱基02購01,,上櫃
315,711854,上櫃認購(售)權證,信驊凱基01購01,,上櫃
316,711855,上櫃認購(售)權證,緯軟凱基02購01,,上櫃
317,711857,上櫃認購(售)權證,環球晶凱基01購01,,上櫃
318,711858,上櫃認購(售)權證,環球晶凱基01購02,,上櫃
319,711860,上櫃認購(售)權證,頎邦凱基03購01,,上櫃
320,711861,上櫃認購(售)權證,力旺國泰02購01,,上櫃
321,711862,上櫃認購(售)權證,威剛國泰02購01,,上櫃
322,711863,上櫃認購(售)權證,雍智國泰03購01,,上櫃
